"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"rbokeh","rbokeh","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.5.0",NA,NA,"htmlwidgets (>= 0.5), maps, methods, jsonlite, digest, hexbin,
lazyeval, pryr, magrittr, ggplot2, scales, gistr",NA,"testthat, data.table, lattice, lintr, roxygen2 (>= 5.0.0),
knitr","shiny (>= 0.12)","MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"Rborist","Rborist","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.2-3",NA,"R(>= 3.3)","Rcpp (>= 0.12.2), data.table (>= 1.9.8), digest","Rcpp","testthat, knitr, rmarkdown",NA,"MPL (>= 2) | GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"rbugs","rbugs","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.5-9.1",NA,NA,NA,NA,"coda (>= 0.13-5), sp",NA,"GPL (>= 3.0)",NA,NA,NA,NA,"no","3.6.1"
"rcdd","rcdd","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.2-2",NA,"R (>= 3.0.2)","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"rcompanion","rcompanion","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","2.3.7",NA,"R (>= 3.3.0)","stats (>= 3.3.0), graphics (>= 3.3.0), boot (>= 1.3-18),
DescTools (>= 0.99.17), multcompView (>= 0.1-7), plyr (>=
1.8.4), EMT (>= 1.1), coin (>= 1.1-2), lmtest (>= 0.9-34),
nortest (>= 1.0-4)",NA,"FSA (>= 0.8.9)",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"RcppCCTZ","RcppCCTZ","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.2.6",NA,NA,"Rcpp (>= 0.11.0)","Rcpp","tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"rdetools","rdetools","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.0",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.6.1"
"Rdsdp","Rdsdp","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.0.4-2",NA,NA,"utils, methods",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"reactlog","reactlog","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.0.0",NA,"R (>= 3.0.2)","jsonlite (>= 0.9.16)",NA,"shiny, knitr, rmarkdown, htmltools",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"reda","reda","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.5.0",NA,"R (>= 3.2.3)","Rcpp, ggplot2, graphics, grDevices, methods, splines2, stats","Rcpp, RcppArmadillo","knitr, rmarkdown, tinytest",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"REEMtree","REEMtree","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.90.3",NA,"nlme, rpart, methods",NA,NA,"AER",NA,"GPL",NA,NA,NA,NA,NA,"3.6.1"
"refund","refund","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.1-17",NA,"R (>= 2.14.0)","fda, Matrix, lattice, boot, mgcv (>= 1.8-12), MASS, magic,
nlme, gamm4, lme4, RLRsim, splines, grpreg, ggplot2, stats,
pbs, methods",NA,"RColorBrewer, reshape2, dtw",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"regpro","regpro","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.1.1",NA,"denpro (>= 0.9.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"relations","relations","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.6-9",NA,"R (>= 3.2.0)","cluster, stats, slam, sets (>= 1.0-16), graphics, grDevices",NA,"Rgraphviz, clue (>= 0.3-49), Rglpk (>= 0.3-1), lpSolve (>=
5.6.3), Rsymphony (>= 0.1-9), methods","seriation, Rcplex","GPL-2",NA,NA,NA,NA,"no","3.6.1"
"relaxo","relaxo","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.1-2",NA,"lars","graphics, utils, stats",NA,NA,NA,"GPL",NA,NA,NA,NA,NA,"3.6.1"
"relimp","relimp","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.0-5",NA,"R (>= 2.0.0)","stats, utils",NA,"tcltk, nnet, MASS, Rcmdr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"renv","renv","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.8.3",NA,NA,"utils",NA,"covr, knitr, packrat, remotes, reticulate, rmarkdown,
rstudioapi, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"replyr","replyr","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.0.5",NA,"R (>= 3.4.0), wrapr (>= 1.9.2)","dplyr (>= 0.7.0), rlang (>= 0.2.0), dbplyr, DBI",NA,"testthat, knitr, rmarkdown, sparklyr, igraph, DiagrammeR,
RSQLite",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.1"
"ReporteRs","ReporteRs","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.8.10",NA,"R (>= 3.0), ReporteRsjars (>= 0.0.2)","grDevices, rJava, utils, rvg (>= 0.1.2), xml2, gdtools, png,
R.utils, knitr, shiny, htmltools",NA,"ggplot2, jpeg, bmp, testthat, magrittr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"ReporteRsjars","ReporteRsjars","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.0.4",NA,"R (>= 3.0)","rJava",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"revealedPrefs","revealedPrefs","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.4.1",NA,"Rcpp","pso","Rcpp, RcppArmadillo",NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"revealjs","revealjs","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.9",NA,"R (>= 3.0)","rmarkdown (>= 1.0)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"Rfit","Rfit","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.23.0",NA,"methods",NA,NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"rgdal","rgdal","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.4-7",NA,"R (>= 3.5.0), methods, sp (>= 1.1-0)","grDevices, graphics, stats, utils","sp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"rgenoud","rgenoud","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","5.8-3.0",NA,"R (>= 2.15), utils",NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"Rglpk","Rglpk","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.6-4",NA,"slam (>= 0.1-9)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"RGraphics","RGraphics","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","2.0-14",NA,"R (>= 2.13.0), datasets, stats, grDevices, graphics, methods,
grid","lattice, ggplot2",NA,"agricolae, animation, CircStats, circular, cluster,
colorspace, diagram, dichromat, gplots, graph, gridBase,
gridExtra, gridSVG, grImport, gWidgets, gWidgetsRGtk2, hexbin,
Hmisc, hyperdraw, hypergraph, igraph, iplots, ipred,
latticeExtra, mapdata, maps, maptools, MASS, misc3d, munsell,
network, openair, oz, party, pixmap, playwith, plotrix, pmg,
png, quantmod, raster, Rcmdr, RColorBrewer, rgdal, rggobi, rgl,
RGraphics, Rgraphviz, scatterplot3d, soiltexture, sp,
SVGAnnotation, symbols, TeachingDemos, tools, vcd, vcdExtra,
venneuler, vrmlgen, XML",NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"rhandsontable","rhandsontable","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.3.7",NA,NA,"jsonlite, htmlwidgets (>= 0.3.3), magrittr, methods",NA,"knitr, rmarkdown, shiny (>= 0.13), miniUI (>= 0.1.1),
rstudioapi (>= 0.6), htmltools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"RISmed","RISmed","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","2.1.7",NA,"R (>= 2.8.0), methods",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"rjags","rjags","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","4-10",NA,"R (>= 2.14.0), coda (>= 0.13)",NA,NA,"tcltk",NA,"GPL (== 2)",NA,NA,NA,NA,"yes","3.6.1"
"RJDBC","RJDBC","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.2-7.1",NA,"methods, DBI, rJava (>= 0.4-15), R (>= 2.4.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"rJython","rJython","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.0-4",NA,"rJava (>= 0.8-1), rjson (>= 0.1.9)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.6.1"
"rlist","rlist","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.4.6.1",NA,"R (>= 2.15)","yaml, jsonlite, XML, data.table",NA,"testthat, stringdist, pipeR",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"RLRsim","RLRsim","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","3.1-3",NA,"R (>= 2.14.0)","Rcpp (>= 0.11.1), lme4 (>= 1.1), mgcv, nlme","Rcpp",NA,"SemiPar, lmerTest","GPL",NA,NA,NA,NA,"yes","3.6.1"
"RMixtComp","RMixtComp","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","4.0.2",NA,"R (>= 2.10), RMixtCompUtilities","RMixtCompIO, ggplot2, plotly",NA,"testthat, xml2, Rmixmod, blockcluster",NA,"AGPL-3",NA,NA,NA,NA,"no","3.6.1"
"RMixtCompIO","RMixtCompIO","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","4.0.1",NA,NA,"Rcpp, doParallel, foreach","Rcpp, RcppEigen, BH","Rmixmod, blockcluster, testthat, RInside, xml2",NA,"AGPL-3",NA,NA,NA,NA,"yes","3.6.1"
"RMixtCompUtilities","RMixtCompUtilities","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","4.0.0",NA,NA,"plotly, ggplot2, scales",NA,"testthat, xml2, RMixtCompIO, Rmixmod, blockcluster",NA,"AGPL-3",NA,NA,NA,NA,"no","3.6.1"
"Rmpfr","Rmpfr","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.7-2",NA,"gmp (>= 0.5-8), R (>= 3.3.0)","stats, utils, methods",NA,"MASS, Bessel, polynom, sfsmisc (>= 1.0-20), Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"RMySQL","RMySQL","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.10.17",NA,"R (>= 2.8.0), DBI (>= 0.4)","methods",NA,"RMariaDB, testthat, curl",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"rnoaa","rnoaa","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.9.4",NA,NA,"utils, crul (>= 0.7.0), lubridate, dplyr, tidyr, tidyselect,
ggplot2, scales, XML, xml2, jsonlite, rappdirs, gridExtra,
tibble, isdparser (>= 0.2.0), geonames, hoardr (>= 0.5.2)",NA,"roxygen2 (>= 6.1.1), testthat, knitr, taxize, ncdf4, raster,
leaflet, rgdal, sf, rmarkdown, purrr, ggmap, ropenaq, vcr (>=
0.2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"robust","robust","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.4-18.1",NA,"fit.models","graphics, stats, utils, lattice, MASS, robustbase, rrcov",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"rocc","rocc","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.2",NA,"ROCR",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.6.1"
"RODBC","RODBC","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.3-16",NA,"R (>= 3.0.0)","stats",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"ROracle","ROracle","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.3-1",NA,"methods, DBI (>= 0.2-5)","utils",NA,NA,NA,"LGPL",NA,NA,NA,NA,"yes","3.6.1"
"rotationForest","rotationForest","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.1.3",NA,NA,"rpart",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"rpact","rpact","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","2.0.5",NA,"R (>= 3.4.0)","methods, stats, utils, graphics, tools, Rcpp (>= 1.0.0)","Rcpp","parallel, ggplot2 (>= 2.2.0), testthat (>= 2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"rpart.plot","rpart.plot","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","3.0.8",NA,"R (>= 3.4.0), rpart (>= 4.1-10)",NA,NA,"earth (>= 5.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"RPostgreSQL","RPostgreSQL","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.6-2",NA,"R (>= 2.9.0), methods, DBI (>= 0.3)",NA,NA,NA,NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"rqdatatable","rqdatatable","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.2.3",NA,"R (>= 3.4.0), rquery (>= 1.3.8)","wrapr (>= 1.9.2), data.table (>= 1.12.2), methods",NA,"knitr, rmarkdown, DBI, RSQLite, parallel, RUnit",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.1"
"rqPen","rqPen","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","2.1",NA,"R (>= 3.0.0), quantreg, regpro",NA,NA,"splines",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"rquery","rquery","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.3.9",NA,"R (>= 3.4.0)","wrapr (>= 1.9.2), utils, stats, methods",NA,"DBI, RSQLite, rqdatatable, igraph, DiagrammeR, knitr,
rmarkdown, RUnit, yaml",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.1"
"RRF","RRF","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.9.1",NA,"R (>= 2.5.0), stats",NA,NA,"RColorBrewer, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"rsample","rsample","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.0.5",NA,"R (>= 3.1), tidyr","dplyr, purrr, tibble, rlang (>= 0.4.0), methods, generics,
utils, tidyselect, furrr",NA,"ggplot2, testthat, rmarkdown, knitr, AmesHousing, recipes (>=
0.1.4), broom",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"rsconnect","rsconnect","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.8.15",NA,"R (>= 3.0.0)","curl, jsonlite, openssl, packrat (>= 0.4.8-1), rstudioapi (>=
0.5), yaml (>= 2.1.5)",NA,"RCurl, callr, httpuv, knitr, plumber (>= 0.3.2), reticulate,
rmarkdown (>= 1.1), shiny, sourcetools, testthat, xtable",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"RSelenium","RSelenium","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.7.5",NA,"R (>= 3.0.0)","XML, methods, caTools, tools, utils, openssl, httr, wdman(>=
0.2.2), binman",NA,"testthat, knitr, Rcompression, covr, rmarkdown",NA,"AGPL-3",NA,NA,NA,NA,"no","3.6.1"
"Rsolnp","Rsolnp","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.16",NA,"R (>= 2.10.0)","truncnorm, parallel, stats",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.6.1"
"rstan","rstan","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","2.19.2",NA,"R (>= 3.4.0), StanHeaders (> 2.18.1), ggplot2 (>= 2.0.0)","methods, stats4, inline, gridExtra (>= 2.0.0), Rcpp (>=
0.12.0), loo (>= 2.0.0), pkgbuild","Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0), BH (>= 1.69.0),
StanHeaders (> 2.18.1)","RUnit, RcppEigen (>= 0.3.3.3.0), BH (>= 1.66), parallel,
KernSmooth, shinystan (>= 2.3.0), bayesplot (>= 1.5.0),
rmarkdown, rstantools, rstudioapi, Matrix, knitr (>= 1.15.1)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"rstanarm","rstanarm","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","2.19.2",NA,"R (>= 3.4.0), Rcpp (>= 0.12.0), methods","bayesplot (>= 1.7.0), ggplot2 (>= 2.2.1), lme4 (>= 1.1-8), loo
(>= 2.1.0), Matrix (>= 1.2-13), nlme (>= 3.1-124), rstan (>=
2.19.1), rstantools (>= 2.0.0), shinystan (>= 2.3.0), stats,
survival (>= 2.40.1), utils","StanHeaders (>= 2.19.0), rstan (>= 2.19.1), BH (>= 1.66.0),
Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0)","betareg, data.table (>= 1.10.0), digest, gridExtra, HSAUR3,
knitr (>= 1.15.1), MASS, mgcv (>= 1.8-13), rmarkdown, roxygen2,
testthat (>= 1.0.2)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"rstantools","rstantools","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","2.0.0",NA,NA,"stats, utils, Rcpp (>= 0.12.16), desc",NA,"rstan (>= 2.17.2), usethis (>= 1.5.1), testthat (>= 2.0.0),
knitr, pkgbuild, pkgload, roxygen2 (>= 6.0.1), rmarkdown,
rstudioapi",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.1"
"rstatix","rstatix","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.2.0",NA,"R (>= 3.3.0)","stats, utils, tidyr, purrr, broom, rlang (>= 0.3.1), tibble,
dplyr (>= 0.7.1), magrittr, corrplot, tidyselect, car",NA,"knitr, rmarkdown, ggpubr, graphics, emmeans, coin, boot",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"rsvg","rsvg","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.3",NA,NA,NA,NA,"spelling, svglite, png, jpeg, webp, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"rtf","rtf","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.4-14",NA,"R (>= 2.10.1)","R.oo, R.methodsS3",NA,"ggplot2, lattice, grid, xtable, gsubfn",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"rticles","rticles","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.11",NA,NA,"utils, rmarkdown, knitr, yaml, tinytex, xfun",NA,"testit, bookdown, xtable",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"rtkore","rtkore","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.5.5",NA,"R (>= 3.2.0), Rcpp (>= 0.12.0)","inline","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.1"
"rucm","rucm","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.6",NA,"KFAS",NA,NA,"knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"ruv","ruv","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.9.7.1",NA,NA,"stats, ggplot2, scales, gridExtra",NA,"shiny, colourpicker",NA,"GPL",NA,NA,NA,NA,"yes","3.6.1"
"rv","rv","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","2.3.3",NA,"R(>= 2.15.1), stats, utils, grDevices, graphics",NA,NA,"knitr, rmarkdown, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"rvg","rvg","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.2.2",NA,"R (>= 3.0)","grDevices, Rcpp (>= 0.12.12), officer (>= 0.3.6), gdtools (>=
0.2.1), xml2 (>= 1.0.0), rlang","Rcpp, gdtools","htmltools, testthat, covr, grid, knitr",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.1"
"rworldmap","rworldmap","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.3-6",NA,"R (>= 2.10.0), sp","maptools, fields, methods",NA,"rgdal, rworldxtra, RColorBrewer, classInt",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"RxODE","RxODE","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.9.1-8",NA,"R (>= 3.5.0)","Matrix, PreciseSums (>= 0.3), Rcpp (>= 0.12.3), brew, cli,
crayon, digest, dparser (>= 0.1.8), ggforce, ggplot2, inline,
magrittr, memoise, methods, mvnfast, pillar, rex, sys, units(>=
0.6-0), utils, assertthat, lotri, remotes","dparser(>= 0.1.8), Rcpp (>= 0.12.3), RcppArmadillo(>=
0.9.300.2.0), PreciseSums (>= 0.3)","knitr, DT, data.table (>= 1.12.4), nlme, shiny, tcltk,
testthat, usethis, devtools, covr, rmarkdown, SnakeCharmR,
dplyr (>= 0.8.0), tidyr, tibble, curl, gridExtra,
microbenchmark, scales, stringi, htmltools, reticulate, rlang,
installr",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.1"
"saemix","saemix","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","2.2",NA,NA,"graphics, stats, methods",NA,"testthat (>= 0.3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"safetyGraphics","safetyGraphics","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.0.0",NA,"R (>= 3.5)","dplyr, htmlwidgets, purrr, stringr, jsonlite, shiny, magrittr,
DT, shinyjs, rmarkdown, rlang, tibble, utils, haven,
shinyWidgets, tidyr",NA,"testthat, shinytest, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"sampleSelection","sampleSelection","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.2-6",NA,"R (>= 2.10), maxLik (>= 0.7-3), stats","miscTools (>= 0.6-3), systemfit (>= 1.0-0), Formula (>=
1.1-1), VGAM (>= 1.1-1), mvtnorm (>= 0.9-9994)",NA,"lmtest, Ecdat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.1"
"SASxport","SASxport","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.6.0",NA,"R (>= 3.3.0)","Hmisc, utils, stringi",NA,"chron",NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.1"
"scagnostics","scagnostics","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.2-4.1",NA,"rJava",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"no","3.6.1"
"scaRabee","scaRabee","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.1-3",NA,"neldermead (>= 1.0-8), lattice, grid, deSolve, utils",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.6.1"
"scdensity","scdensity","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.0.2",NA,"R (>= 3.3.0)","quadprog, lpSolve",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.1"
"scico","scico","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","1.1.0",NA,"R (>= 2.10)","grDevices",NA,"ggplot2, testthat, dplyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.1"
"semver","semver","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.2.0",NA,NA,"Rcpp (>= 0.12.8), assertthat, utils","Rcpp","testthat, covr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.1"
"seplyr","seplyr","/CHBS/apps/EB/software/R-bundle-Novartis/0.2-gomkl-2019a-R-3.6.1","0.8.4",NA,"R (>= 3.4.0), wrapr (>= 1.8.8)","dplyr (>= 0.7.0), rlang (>= 0.2.0), tidyr",NA,"knitr, rmarkdown, testthat",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.1"
